YEAR,MONTH,Date,Transfer Station,COMMODITY,TONS,TRIPS,SECTOR
2009,5,05/04/2009,North Transfer Station,Garbage,131.514968,23,Residential
2009,5,05/04/2009,South Transfer Station,Recycling,315.151139,70,Residential
2009,5,05/05/2009,South Transfer Station,Garbage,69.426921,15,Residential
2009,5,05/05/2009,South Transfer Station,Recycling,317.744168,71,Residential
2009,5,05/05/2009,South Transfer Station,Organics,198.33,33,Residential
2009,5,05/11/2009,North Transfer Station,Garbage,113.742179,28,Residential
2009,5,05/11/2009,South Transfer Station,Recycling,281.88835,59,Residential
2009,5,05/12/2009,South Transfer Station,Recycling,287.48007,66,Residential
2009,5,05/13/2009,South Transfer Station,Garbage,255.129213,48,Residential
2009,5,05/14/2009,South Transfer Station,Recycling,270.321735,65,Residential
2009,5,05/15/2009,South Transfer Station,Garbage,41.338159,10,Residential
2009,5,05/15/2009,South Transfer Station,Organics,159.182959,29,Residential
2009,5,05/16/2009,South Transfer Station,Garbage,0.053664,1,Residential
2009,5,05/16/2009,South Transfer Station,Garbage,5.319081,4,Residential
2009,5,05/16/2009,South Transfer Station,Recycling,5.116356,2,Residential
2009,5,05/18/2009,South Transfer Station,Organics,1.01,1,Residential
2009,5,05/19/2009,South Transfer Station,Recycling,269.030581,58,Residential
2009,5,05/22/2009,South Transfer Station,Organics,2.51,2,Residential
2009,5,05/24/2009,South Transfer Station,Garbage,0.16942,6,Residential
2009,5,05/25/2009,South Transfer Station,Recycling,250.994116,64,Residential
2009,5,05/25/2009,South Transfer Station,Organics,58.05,9,Residential
2009,5,05/26/2009,South Transfer Station,Organics,270.495161,38,Residential
2009,5,05/29/2009,South Transfer Station,Garbage,281.554372,47,Residential
2009,5,05/29/2009,South Transfer Station,Recycling,288.939031,69,Residential
2009,6,06/01/2009,South Transfer Station,Recycling,5.57,1,Residential
2009,6,06/01/2009,South Transfer Station,Organics,265.47,40,Residential
2009,6,06/03/2009,South Transfer Station,Garbage,286.575066,51,Residential
2009,6,06/03/2009,South Transfer Station,Organics,85.02,12,Residential
2009,6,06/04/2009,South Transfer Station,Garbage,31.98633,10,Residential
2009,6,06/05/2009,South Transfer Station,Organics,66.12,8,Residential
2009,6,06/07/2009,South Transfer Station,Organics,0.030954,1,Residential
2009,6,06/09/2009,South Transfer Station,Organics,200.374398,35,Residential
2009,6,06/10/2009,South Transfer Station,Organics,167.114014,30,Residential
2009,6,06/11/2009,North Transfer Station,Garbage,53.250003,26,Residential
2009,6,06/11/2009,South Transfer Station,Organics,197.479945,34,Residential
2009,6,06/12/2009,North Transfer Station,Organics,113.35,16,Residential
2009,6,06/13/2009,South Transfer Station,Recycling,4.297328,2,Residential
2009,6,06/15/2009,South Transfer Station,Recycling,313.517683,67,Residential
2009,6,06/16/2009,South Transfer Station,Organics,60.38,12,Residential
2009,6,06/17/2009,North Transfer Station,Garbage,49.883832,33,Residential
2009,6,06/17/2009,South Transfer Station,Recycling,303.570261,72,Residential
2009,6,06/18/2009,South Transfer Station,Organics,181.701727,35,Residential
2009,6,06/19/2009,North Transfer Station,Garbage,61.677477,32,Residential
2009,6,06/19/2009,South Transfer Station,Garbage,289.725121,47,Residential
2009,6,06/20/2009,North Transfer Station,Garbage,4.130781,3,Residential
2009,6,06/20/2009,South Transfer Station,Garbage,5.996896,5,Residential
2009,6,06/20/2009,South Transfer Station,Recycling,2.737026,1,Residential
2009,6,06/21/2009,South Transfer Station,Garbage,0.140609,4,Residential
2009,6,06/23/2009,South Transfer Station,Recycling,276.850295,63,Residential
2009,6,06/23/2009,South Transfer Station,Organics,63.69,11,Residential
2009,6,06/24/2009,South Transfer Station,Organics,152.69935,27,Residential
2009,6,06/26/2009,South Transfer Station,Garbage,35.741962,11,Residential
2009,6,06/26/2009,North Transfer Station,Organics,106.78,18,Residential
2009,6,06/27/2009,South Transfer Station,Garbage,1.14597,1,Residential
2009,6,06/29/2009,South Transfer Station,Garbage,316.192468,53,Residential
2009,7,07/01/2009,South Transfer Station,Garbage,292.791559,53,Residential
2009,7,07/01/2009,South Transfer Station,Recycling,288.598016,61,Residential
2009,7,07/02/2009,South Transfer Station,Garbage,29.074121,10,Residential
2009,7,07/02/2009,South Transfer Station,Organics,63.18,11,Residential
2009,7,07/10/2009,South Transfer Station,Garbage,42.319997,10,Residential
2009,7,07/13/2009,South Transfer Station,Garbage,283.385611,51,Residential
2009,7,07/14/2009,North Transfer Station,Garbage,139.373586,31,Residential
2009,7,07/15/2009,South Transfer Station,Recycling,263.362507,56,Residential
2009,7,07/15/2009,South Transfer Station,Organics,68.69,12,Residential
2009,7,07/16/2009,South Transfer Station,Organics,151.503775,27,Residential
2009,7,07/17/2009,South Transfer Station,Recycling,294.381532,66,Residential
2009,7,07/17/2009,South Transfer Station,Organics,76.38,11,Residential
2009,7,07/19/2009,South Transfer Station,Recycling,3.327912,1,Residential
2009,7,07/22/2009,North Transfer Station,Organics,73.17,11,Residential
2009,7,07/23/2009,South Transfer Station,Garbage,255.392812,51,Residential
2009,7,07/25/2009,South Transfer Station,Organics,0.327684,1,Residential
2009,7,07/26/2009,South Transfer Station,Organics,0.462226,1,Residential
2009,7,07/28/2009,North Transfer Station,Organics,60.1,11,Residential
2009,7,07/29/2009,South Transfer Station,Garbage,246.534311,48,Residential
2009,7,07/31/2009,South Transfer Station,Garbage,268.355377,48,Residential
2009,8,08/03/2009,South Transfer Station,Organics,44.23,7,Residential
2009,8,08/04/2009,South Transfer Station,Garbage,252.182426,46,Residential
2009,8,08/05/2009,South Transfer Station,Garbage,14.101134,7,Residential
2009,8,08/05/2009,South Transfer Station,Recycling,308.540733,69,Residential
2009,8,08/06/2009,South Transfer Station,Garbage,0.69,1,Residential
2009,8,08/06/2009,South Transfer Station,Organics,54.6,10,Residential
2009,8,08/09/2009,South Transfer Station,Recycling,3.136,1,Residential
2009,8,08/10/2009,South Transfer Station,Recycling,325.171229,68,Residential
2009,8,08/10/2009,South Transfer Station,Organics,76.4,9,Residential
2009,8,08/12/2009,South Transfer Station,Garbage,264.305871,50,Residential
2009,8,08/14/2009,South Transfer Station,Garbage,0.66,1,Residential
2009,8,08/14/2009,South Transfer Station,Organics,110.007714,24,Residential
2009,8,08/15/2009,South Transfer Station,Garbage,5.251201,3,Residential
2009,8,08/20/2009,South Transfer Station,Organics,68.61,10,Residential
2009,8,08/21/2009,North Transfer Station,Garbage,134.910812,33,Residential
2009,8,08/21/2009,South Transfer Station,Garbage,22.842004,10,Residential
2009,8,08/22/2009,North Transfer Station,Garbage,9.269315,5,Residential
2009,8,08/24/2009,South Transfer Station,Recycling,309.808541,69,Residential
2009,8,08/25/2009,North Transfer Station,Garbage,181.867828,35,Residential
2009,8,08/25/2009,South Transfer Station,Garbage,44.941563,11,Residential
2009,8,08/25/2009,South Transfer Station,Organics,77.01,11,Residential
2009,8,08/26/2009,North Transfer Station,Garbage,111.881686,31,Residential
2009,8,08/28/2009,South Transfer Station,Garbage,304.81981,50,Residential
2009,8,08/29/2009,North Transfer Station,Garbage,7.907336,6,Residential
2009,8,08/29/2009,South Transfer Station,Garbage,1.873612,3,Residential
2009,8,08/29/2009,South Transfer Station,Organics,0.56672,1,Residential
2009,8,08/30/2009,South Transfer Station,Organics,0.140392,1,Residential
2009,8,08/31/2009,South Transfer Station,Organics,62.17,9,Residential
2009,9,09/02/2009,South Transfer Station,Recycling,298.331357,69,Residential
2009,9,09/03/2009,South Transfer Station,Recycling,299.889967,72,Residential
2009,9,09/04/2009,South Transfer Station,Organics,121.445723,25,Residential
2009,9,09/05/2009,South Transfer Station,Organics,0.461978,1,Residential
2009,9,09/07/2009,North Transfer Station,Organics,57.53,11,Residential
2009,9,09/07/2009,South Transfer Station,Organics,40.45,6,Residential
2009,9,09/08/2009,South Transfer Station,Garbage,304.242902,54,Residential
2009,9,09/09/2009,South Transfer Station,Garbage,10.389674,9,Residential
2009,9,09/10/2009,South Transfer Station,Garbage,295.53605,54,Residential
2009,9,09/10/2009,South Transfer Station,Recycling,296.380035,68,Residential
2009,9,09/13/2009,South Transfer Station,Recycling,2.9276,1,Residential
2009,9,09/14/2009,South Transfer Station,Garbage,281.6898,54,Residential
2009,9,09/14/2009,North Transfer Station,Organics,108.68,18,Residential
2009,9,09/15/2009,South Transfer Station,Garbage,319.256849,57,Residential
2009,9,09/17/2009,South Transfer Station,Garbage,22.039878,10,Residential
2009,9,09/17/2009,North Transfer Station,Organics,74.8,12,Residential
